Nanopore barcode ID,BC2_BC12,BC3_BC13,BC4_BC14
barcode02,AC013,GM170,KD005
barcode03,AC014,GM171,KD006
barcode04,AC015,GM172,KD007
barcode05,AC016,GM173,KD008
barcode06,AC017,GM174,KD009
barcode07,AC018,GM175,KD010
barcode08,AC019,GM176,KD011
barcode09,AC020,GM177,KD012
barcode10,AC021,GM178,KD013
barcode11,NC_BC2_1,NC_BC3_1,NC_BC4_1
barcode12,AC022,GM179,KD014
barcode13,AC023,GM180,KD015
barcode14,AC024,GM181,KD016
barcode15,AC025,GM182,KD017
barcode16,AC027,GM183,KD018
barcode17,AC028,GM184,KD019
barcode18,AC029,GM185,KD020
barcode19,AC032,GM186,KD021
barcode20,AC033,GM187,KD022
barcode21,AC034,GM188,KD023
barcode22,AC036,GM189,KD024
barcode23,AC037,GM190,KD025
barcode24,AC038,GM191,KD026
barcode25,AC039,GM192,KD027
barcode26,AC040,GM193,KD028
barcode27,AC041,GM194,KD029
barcode28,AC043,GM195,KD030
barcode29,AC044,GM196,KD031
barcode30,AC045,GM197,KD032
barcode31,AC048,GM198,KD033
barcode32,AC049,GM199,KD034
barcode33,AC050,GM200,KD035
barcode34,AC051,GM201,KD036
barcode35,AC052,GM202,KD037
barcode36,AC053,GM203,KD038
barcode37,NC_BC2_2,NC_BC3_2,NC_BC4_2
barcode38,AC054,GM204,KD039
barcode39,AC055,GM205,KD040
barcode40,AC056,GM206,KD041
barcode41,AC057,GM207,KD042
barcode42,AC058,GM208,KD043
barcode43,AC059,GM209,KD044
barcode44,AC060,GM210,KD045
barcode45,AC061,GM211,KD046
barcode46,AC062,GM212,KD047
barcode47,AC063,GM213,KD048
barcode48,AC064,GM214,KD049
barcode49,AC065,GM215,KD050
barcode50,NC_BC2_3,NC_BC3_3,NC_BC4_3
barcode51,AC066,GM216,KD051
barcode52,AC067,GM217,KD052
barcode53,AC069,GM218,KD053
barcode54,AC070,GM219,KD054
barcode55,AC072,GM220,KD055
barcode56,AC073,GM221,KD056
barcode57,AC074,GM222,KD057
barcode58,AC081,GM223,KD058
barcode59,AC083,GM224,KD059
barcode60,AC087,GM225,KD060
barcode61,AC090,GM226,KD061
barcode62,AC091,GM227,KD062
barcode63,AC092,GM228,KD063
barcode64,GM037,GM229,KD064
barcode65,GM038,GM230,KD065
barcode66,GM040,GM231,KD066
barcode67,GM042,GM232,KD067
barcode68,GM044,MM101,KD068
barcode69,GM045,MM102,KD069
barcode70,GM046,MM103,KD070
barcode71,NC_BC2_4,NC_BC3_4,NC_BC4_4
barcode72,GM047,MM104,KD071
barcode73,GM048,MM105,KD072
barcode74,GM049,MM106,KD073
barcode75,GM050,MM107,KD074
barcode76,GM051,MM108,KD075
barcode77,GM052,MM109,KD076
barcode78,GM053,MM110,KD077
barcode79,NC_BC2_5,NC_BC3_5,NC_BC4_5
barcode81,GM055,MM113,KD079
barcode82,GM056,MM114,KD080
barcode83,GM057,MM115,KD081
barcode84,GM058,MM116,KD082
barcode85,GM059,MM117,KD083
barcode86,GM060,MM118,KD084
barcode91,AC012,GM169,KD004
barcode92,GM054,MM111,KD078
barcode93,GM061,MM119,KD085
barcode94,GM062,MM120,KD086
